Titolo;Ticker;Mercato;Settore;Classe;Valuta;Prezzo;Capitalizzazione mln valuta locale;Capitalizzazione mln EUR;Prezzo EUR;EPS TTM;EPS 2026E;P/E;P/B;ROE implicito;ROE 1 anno;ROE 5 anni;Variabilita ROE;Esercizi ROE;Dividendo;Rendimento;Debito su mezzi propri;Crescita ricavi;Margine netto;Giudizio;Motivo;Rilevazione;Fonte;Grafico;Note
3M;MMM;USA;Conglomerata industriale;IND;USD;166,25;85738,9;73735,453853;142,975;5,63;9,77808;29,529307;29,044374;0,983578;0,81892;0,178646;0,974849;4;3,12;0,018767;437,937;0,025;0,12013;SCARTA;P/E troppo alto (29.5);2026-09-08;yahoo;https://www.tradingview.com/symbols/MMM/;
A2A;A2A.MI;Italia;Utility;UTI;EUR;2,338;7314,3;7314,3;2,338;0,22;0,21117;10,627273;1,406739;0,132371;0,11337;0,135288;0,022164;4;0,1;0,042772;113,764;0,314;0,050004;SCARTA;ROE al 11.3%, sotto la soglia;2026-09-08;yahoo;https://www.tradingview.com/symbols/MIL-A2A/;
ABB;ABBN.SW;Svizzera;Automazione / Elettrificazione;IND;CHF;80,98;146676,2;155952,239187;86,101306;2,2;2,907975;36,809091;11,369463;0,308876;0,32575;0,260039;0,039075;4;0,94;0,011608;55,751;0,142;0,149699;SCARTA;P/E troppo alto (36.8);2026-09-08;yahoo;https://www.tradingview.com/symbols/SIX-ABBN/;
ABN AMRO;ABN.AS;Paesi Bassi;Banca;FIN;EUR;43,3;35286,7;35286,7;43,3;2,78;3,70303;15,57554;1,290842;0,082876;0,0912;0,092194;0,011867;4;1,38;0,031871;;0,118;0,261681;SCARTA;ROE al 9.1%, sotto la soglia;2026-09-08;yahoo;https://www.tradingview.com/symbols/EURONEXT-ABN/;
ASM International;ASM.AS;Paesi Bassi;Apparecchiature semicond.;TEC;EUR;841,2;41162,9;41162,9;841,2;21,81;30,42575;38,569464;9,264215;0,240196;0,26798;0,184563;0,03249;4;3,25;0,003864;1,585;0,2;0,338491;SCARTA;P/E troppo alto (38.6);2026-09-08;yahoo;https://www.tradingview.com/symbols/EURONEXT-ASM/;
ASML Holding;ASML.AS;Paesi Bassi;Apparecchiature semicond.;TEC;EUR;1518;583063,8;583063,8;1518;25,36;51,71021;59,858044;26,715006;0,446306;0,53942;0,530203;0,087418;4;7,78;0,005125;9,092;0,213;0,325659;SCARTA;P/E troppo alto (59.9);2026-09-08;yahoo;https://www.tradingview.com/symbols/EURONEXT-ASML/;
AXA;CS.PA;Francia;Assicurazione;FIN;EUR;43,66;91288,8;91288,8;43,66;3,71;4,47586;11,768194;1,976371;0,167942;0,14881;0,15511;0,035083;4;2,32;0,053138;119,437;0,045;0,072259;SCARTA;ROE al 14.9%, sotto la soglia;2026-09-08;yahoo;https://www.tradingview.com/symbols/EURONEXT-CS/;
AbbVie;ABBV;USA;Farmaceutica;SAL;USD;250,62;442874,9;380872,413238;215,5332;3,54;16,28202;70,79661;-74,61149;-1,053885;1,286617;0,814001;0,345689;3;6,92;0,027612;;0,102;0,102518;SCARTA;P/E troppo alto (70.8);2026-09-08;yahoo;https://www.tradingview.com/symbols/ABBV/;
Abbott Laboratories;ABT;USA;Dispositivi medicali;SAL;USD;106,09;183576,4;157875,703684;91,2374;3,09;6,06487;34,333333;3,591766;0,104615;0,10576;0,18589;0,059572;4;2,52;0,023753;63,212;0,13;0,121842;SCARTA;ROE al 10.6%, sotto la soglia;2026-09-08;yahoo;https://www.tradingview.com/symbols/ABT/;
Accenture;ACN;USA;Consulenza IT;TEC;USD;177,875;108849,2;93610,311813;152,9725;12,53;14,65516;14,19593;3,412732;0,240402;0,24406;0,270374;0,02469;4;6,52;0,036655;25,035;0,056;0,111804;PASSA FORTE;ROE 24.4% / 27.0% con P/E 14.2;2026-09-08;yahoo;https://www.tradingview.com/symbols/ACN/;
Acea;ACE.MI;Italia;Utility;UTI;EUR;20,38;4331,7;4331,7;20,38;2,93;1,58975;6,955631;1,557747;0,223955;0,20725;0,137727;0,020636;4;0,95;0,046614;169,549;;0,226154;SCARTA;ROE al 13.8%, sotto la soglia;2026-09-08;yahoo;https://www.tradingview.com/symbols/MIL-ACE/;
Adidas;ADS.DE;Germania;Abbigliamento sportivo;CON;EUR;147,85;25883;25883;147,85;7,79;11,66834;18,979461;4,345718;0,22897;0,24324;0,119439;0,08878;4;2,8;0,018938;94,127;0,133;0,055661;SCARTA;ROE al 11.9%, sotto la soglia;2026-09-08;yahoo;https://www.tradingview.com/symbols/XETR-ADS/;
Adobe;ADBE;USA;Software;TEC;USD;257,63;102407,9;88070,793824;221,5618;17,48;27,49816;14,738558;8,924724;0,605536;0,62954;0,418679;0,11519;4;;;61,443;0,127;0,304136;PASSA FORTE;ROE 63.0% / 41.9% con P/E 14.7;2026-09-08;yahoo;https://www.tradingview.com/symbols/ADBE/;
Advanced Micro Devices;AMD;USA;Semiconduttori;TEC;USD;509,81;832252,1;715736,804569;438,436599;3,92;15,51307;130,053571;12,376732;0,095166;0,10196;0,034176;0,020556;4;;;6,361;0,501;0,186755;SCARTA;ROE al 3.4%, sotto la soglia;2026-09-08;yahoo;https://www.tradingview.com/symbols/AMD/;
Adyen;ADYEN.AS;Paesi Bassi;Pagamenti;TEC;EUR;989,6;31238,4;31238,4;989,6;35,61;46,73082;27,789947;5,286777;0,190241;0,21271;0,218697;0,011616;4;;;6,928;0,189;0,425262;SCARTA;P/E troppo alto (27.8);2026-09-08;yahoo;https://www.tradingview.com/symbols/EURONEXT-ADYEN/;
Aegon;AGN.AS;Paesi Bassi;Assicurazione vita;FIN;EUR;7,948;11801,9;11801,9;7,948;0,65;0,94402;12,227692;1,323784;0,108261;0,11069;0,026685;0,064629;4;0,42;0,052843;42,673;-0,082;0,036108;SCARTA;ROE al 2.7%, sotto la soglia;2026-09-08;yahoo;https://www.tradingview.com/symbols/EURONEXT-AGN/;
Ahold Delhaize;AD.AS;Paesi Bassi;Grande distribuzione;CON;EUR;31,27;27322,5;27322,5;31,27;2,51;2,92526;12,458167;1,891483;0,151827;0,15676;0,141479;0,021489;4;1,24;0,039655;133,34;0,003;0,024233;SCARTA;ROE al 14.1%, sotto la soglia;2026-09-08;yahoo;https://www.tradingview.com/symbols/EURONEXT-AD/;
Air Liquide;AI.PA;Francia;Gas industriali;MAT;EUR;173,16;110504,5;110504,5;173,16;5,55;7,18014;31,2;4,156206;0,133212;0,13967;0,125017;0,006475;4;3,36;0,019404;63,307;0,008;0,13138;SCARTA;ROE al 12.5%, sotto la soglia;2026-09-08;yahoo;https://www.tradingview.com/symbols/EURONEXT-AI/;
Air Products;APD;USA;Gas industriali;MAT;USD;299,38;66667,6;57334,135885;257,466799;-0,21;14,43529;;4,801835;;0,00023;0,132701;0,094912;4;7,24;0,024183;110,091;0,046;-0,003929;DA COMPLETARE;manca il P/E (EPS assente o negativo);2026-09-08;yahoo;https://www.tradingview.com/symbols/APD/;
Airbnb;ABNB;USA;Viaggi / Piattaforme;CON;USD;175,325;104982,1;90284,605819;150,7795;4,38;6,14956;40,028539;13,263106;0,331341;0,34542;0,387102;0,116036;4;;;32,004;0,165;0,219835;SCARTA;P/E troppo alto (40.0);2026-09-08;yahoo;https://www.tradingview.com/symbols/ABNB/;
Airbus;AIR.PA;Francia;Aerospazio;IND;EUR;200,7;158850,1;158850,1;200,7;7,51;8,71189;26,724368;6,139304;0,229727;0,23193;0,239485;0,051446;4;3,2;0,015944;54,988;0,277;0,080891;SCARTA;P/E troppo alto (26.7);2026-09-08;yahoo;https://www.tradingview.com/symbols/EURONEXT-AIR/;
Akzo Nobel;AKZA.AS;Paesi Bassi;Vernici;MAT;EUR;60,9;10438,3;10438,3;60,9;3,72;4,30789;16,370968;2,15088;0,131384;0,14143;0,109574;0,02031;4;1,98;0,032512;130,976;-0,014;0,062808;SCARTA;ROE al 11.0%, sotto la soglia;2026-09-08;yahoo;https://www.tradingview.com/symbols/EURONEXT-AKZA/;
Alcon;ALC.SW;Svizzera;Oftalmologia;SAL;CHF;55,82;26983,4;28689,873687;59,350147;1,06;3,544421;52,660377;1,547211;0,029381;0,02941;0,039011;0,012743;4;0,28;0,005016;24,537;0,087;0,061821;SCARTA;ROE al 2.9%, sotto la soglia;2026-09-08;yahoo;https://www.tradingview.com/symbols/SIX-ALC/;
Allianz;ALV.DE;Germania;Assicurazione;FIN;EUR;445,4;;;445,4;30,47;33,5185;14,617657;2,677809;0,18319;0,19612;0,150293;0,020776;4;17,1;0,038392;50,648;0,121;0,084482;PASSA FORTE;ROE 19.6% / 15.0% con P/E 14.6;2026-09-08;yahoo;https://www.tradingview.com/symbols/XETR-ALV/;
Alphabet;GOOGL;USA;Internet / Cloud;TEC;USD;338,715;4142646,2;3562675,724875;291,294899;19,94;14,85403;16,98671;6,655336;0,391797;0,48676;0,2802;0,034406;4;0,88;0,002598;18,859;0,242;0,606001;PASSA;ROE solido, P/E 17.0 nella fascia accettabile;2026-09-08;yahoo;https://www.tradingview.com/symbols/GOOGL/;
Altria Group;MO;USA;Tabacco;CON;USD;68,12;113743;97818,979804;58,5832;4,75;5,86403;14,341053;-42,628284;-2,972465;;;;0;4,44;0,065179;;0,012;0,394856;DA COMPLETARE;manca il ROE;2026-09-08;yahoo;https://www.tradingview.com/symbols/MO/;
Amazon;AMZN;USA;E-commerce / Cloud;TEC;USD;257,3;2775318,3;2386773,733226;221,278;12,43;10,40032;20,69992;5,029713;0,242982;0,30558;0,132051;0,089355;4;;;45,617;0,196;0,188696;SCARTA;ROE al 13.2%, sotto la soglia;2026-09-08;yahoo;https://www.tradingview.com/symbols/AMZN/;
American Electric Power;AEP;USA;Utility;UTI;USD;125,5;68321,9;58756,833882;107,93;5,76;6,85684;21,788194;2,129681;0,097745;0,10131;0,102277;0,010896;4;3,8;0,030279;160,789;0,07;0,143582;SCARTA;ROE al 10.1%, sotto la soglia;2026-09-08;yahoo;https://www.tradingview.com/symbols/AEP/;
American Express;AXP;USA;Pagamenti / Credito;FIN;USD;327,32;221042,4;190096,46362;281,495199;16,47;20,11369;19,87371;6,44521;0,324308;0,34377;0,315213;0,014617;4;3,8;0,011609;172,38;0,128;0,156597;PASSA;ROE solido, P/E 19.9 nella fascia accettabile;2026-09-08;yahoo;https://www.tradingview.com/symbols/AXP/;
American International Group;AIG;USA;Assicurazione;FIN;USD;75,61;39536;34000,959932;65,0246;5,48;8,78651;13,797445;0,97705;0,070814;0,0722;0,093047;0,101102;4;2;0,026452;22,466;0,005;0,110742;SCARTA;ROE al 7.2%, sotto la soglia;2026-09-08;yahoo;https://www.tradingview.com/symbols/AIG/;
American Tower;AMT;USA;REIT / Torri;IMM;USD;177,64;82773,1;71184,865858;152,7704;7,26;7,01004;24,46832;22,252287;0,909433;0,33914;0,507367;0,172988;4;6,98;0,039293;438,721;0,047;0,319505;SCARTA;P/E troppo alto (24.5);2026-09-08;yahoo;https://www.tradingview.com/symbols/AMT/;
Amgen;AMGN;USA;Biotecnologie;SAL;USD;394,56;213382;183508,519633;339,321599;16,09;24,40874;24,522063;18,255781;0,744463;0,91473;1,113513;0,413074;4;10,08;0,025547;490,281;0,095;0,237898;SCARTA;P/E troppo alto (24.5);2026-09-08;yahoo;https://www.tradingview.com/symbols/AMGN/;
Amplifon;AMP.MI;Italia;Dispositivi medicali;SAL;EUR;11,55;;;11,55;0,31;0,88037;37,258065;2,027739;0,054424;0,05737;0,132683;0,028904;4;0,29;0,025108;117,681;0,022;0,030174;SCARTA;ROE al 5.7%, sotto la soglia;2026-09-08;yahoo;https://www.tradingview.com/symbols/MIL-AMP/;
Analog Devices;ADI;USA;Semiconduttori;TEC;USD;362,12;175470,9;150904,973698;311,423199;8,4;16,33678;43,109524;5,230001;0,121319;0,12227;0,070527;0,016789;4;4,4;0,012151;27,314;0,396;0,375237;SCARTA;ROE al 7.1%, sotto la soglia;2026-09-08;yahoo;https://www.tradingview.com/symbols/ADI/;
Apple;AAPL;USA;Hardware / Consumer tech;TEC;USD;315,96;4611176,9;3965612,126069;271,725599;8,74;9,57435;36,15103;42,929344;1,1875;1,48751;1,673853;0,176754;4;1,08;0,003418;78,445;0,164;0,309808;SCARTA;P/E troppo alto (36.2);2026-09-08;yahoo;https://www.tradingview.com/symbols/AAPL/;
Applied Materials;AMAT;USA;Apparecchiature semicond.;TEC;USD;468,38;371705,2;319666,471361;402,806799;11,6;18,47185;40,377586;14,504971;0,359233;0,41068;0,418739;0,072442;4;2,12;0,004526;28,666;0,248;0,326671;SCARTA;P/E troppo alto (40.4);2026-09-08;yahoo;https://www.tradingview.com/symbols/AMAT/;
ArcelorMittal;MT.AS;Paesi Bassi;Acciaio;MAT;EUR;66,88;50430,3;50430,3;66,88;2,05;6,600634;32,62439;1,073353;0,0329;0,03284;0,069278;0,062867;4;0,52;0,007775;25,379;0,052;0,029534;SCARTA;ROE al 3.3%, sotto la soglia;2026-09-08;yahoo;https://www.tradingview.com/symbols/EURONEXT-MT/;
